model,phase,magnitude_cm,force_N,episode,trigger_step,fired,success
OFT,C,5.0,0.1091,6,229,0,1
OFT,C,5.0,0.1091,7,222,0,1
OFT,C,5.0,0.1091,8,218,1,1
OFT,C,5.0,0.1091,9,200,1,1
OFT,C,5.0,0.1091,10,211,1,1
OFT,C,5.0,0.1091,11,225,1,0
OFT,C,5.0,0.1091,12,211,1,0
OFT,C,5.0,0.1091,13,225,1,1
OFT,C,5.0,0.1091,14,229,1,1
OFT,C,5.0,0.1091,15,206,1,0
OFT,C,5.0,0.1091,16,208,1,1
OFT,C,5.0,0.1091,17,233,0,1
OFT,C,5.0,0.1091,18,208,1,1
OFT,C,5.0,0.1091,19,217,0,1
OFT,C,5.0,0.1091,20,209,0,1
OFT,C,5.0,0.1091,21,225,1,0
OFT,C,5.0,0.1091,22,209,1,0
OFT,C,5.0,0.1091,23,208,1,1
OFT,C,5.0,0.1091,24,203,1,0
OFT,C,5.0,0.1091,25,221,1,1
OFT,C,5.0,0.1091,26,216,1,0
OFT,C,5.0,0.1091,27,221,1,1
OFT,C,5.0,0.1091,28,221,1,1
OFT,C,5.0,0.1091,29,206,1,0
OFT,C,5.0,0.1091,30,213,0,1
OFT,C,5.0,0.1091,31,215,1,0
OFT,C,5.0,0.1091,32,234,0,1
OFT,C,5.0,0.1091,33,226,1,1
OFT,C,5.0,0.1091,34,222,1,1
OFT,C,5.0,0.1091,35,223,0,1
OFT,C,5.0,0.1091,36,224,1,1
OFT,C,5.0,0.1091,37,203,1,1
OFT,C,5.0,0.1091,38,222,0,1
OFT,C,5.0,0.1091,39,222,1,0
OFT,C,5.0,0.1091,40,210,1,0
OFT,C,5.0,0.1091,41,201,1,1
OFT,C,5.0,0.1091,42,228,0,1
OFT,C,5.0,0.1091,43,230,0,1
OFT,C,5.0,0.1091,44,213,0,1
OFT,C,5.0,0.1091,45,220,1,1
OFT,C,5.0,0.1091,46,205,1,1
OFT,C,5.0,0.1091,47,221,0,1
OFT,C,5.0,0.1091,48,229,0,1
OFT,C,5.0,0.1091,49,200,1,1
OFT,C,5.0,0.1091,50,228,0,1
OFT,C,8.0,0.1162,1,217,1,0
OFT,C,8.0,0.1162,2,233,0,1
OFT,C,8.0,0.1162,3,234,0,1
OFT,C,8.0,0.1162,4,235,0,1
OFT,C,8.0,0.1162,5,229,0,1
OFT,C,8.0,0.1162,6,229,0,1
OFT,C,8.0,0.1162,7,222,0,1
OFT,C,8.0,0.1162,8,218,1,1
OFT,C,8.0,0.1162,9,200,1,1
OFT,C,8.0,0.1162,10,211,1,1
OFT,C,8.0,0.1162,11,225,1,0
OFT,C,8.0,0.1162,12,211,1,0
OFT,C,8.0,0.1162,13,225,1,1
OFT,C,8.0,0.1162,14,229,1,1
OFT,C,8.0,0.1162,15,206,1,1
OFT,C,8.0,0.1162,16,208,1,1
OFT,C,8.0,0.1162,17,233,0,1
OFT,C,8.0,0.1162,18,208,1,0
OFT,C,8.0,0.1162,19,217,0,1
OFT,C,8.0,0.1162,20,209,0,1
OFT,C,8.0,0.1162,21,225,1,0
OFT,C,8.0,0.1162,22,209,1,0
OFT,C,8.0,0.1162,23,208,1,1
OFT,C,8.0,0.1162,24,203,1,0
OFT,C,8.0,0.1162,25,221,1,1
OFT,C,8.0,0.1162,26,216,1,1
OFT,C,8.0,0.1162,27,221,1,0
OFT,C,8.0,0.1162,28,221,1,0
OFT,C,8.0,0.1162,29,206,1,0
OFT,C,8.0,0.1162,30,213,0,1
OFT,C,8.0,0.1162,31,215,1,0
OFT,C,8.0,0.1162,32,234,0,1
OFT,C,8.0,0.1162,33,226,1,0
OFT,C,8.0,0.1162,34,222,1,1
